Category;Issuer;Cert Name;Skills description;Verification URL;Date Acquired;Picture File Name
Data Science;DataCamp;Data Literacy;"Analytics Fundamentals, 
Data Visualization, 
Data Storytelling";https://www.datacamp.com/skill-verification/DL0031326339327;Nov-25;Data Literacy.png
Data Science;DataCamp;AI Fundamentals;AI Fundamentals, Generative AI, ethical Generative AI;https://www.datacamp.com/skill-verification/AIF0022429893962;Nov-25;AI fundamentals.png
Data Science;DataCamp;Understanding Data Science;"Define core data science concepts, workflows, roles, and commonly used tools.
Identify data types, sources, and storage methods used in data-driven organizations.
Evaluate real-world applications of data science across industries and use cases.
Assess the purpose of data pipelines, exploration, and visualization in data workflows.
Recognize how modeling techniques like A/B testing and machine learning inform decisions.";https://www.datacamp.com/skill-verification/UDS0028710042472;Nov-25;Understanding Data Science.png
Data Science;DataCamp;AI Ethics;"Define data and AI ethics, and explain their importance in real-world applications.

Differentiate ethical principles from laws, regulations, and societal norms in the context of data use.

Identify ethical risks and responsibilities across the entire data lifecycle.

Apply principles of transparency, consent, and ownership to support ethical AI practices.

Evaluate ethical implications of data sharing, bias, and AI impact on society and sustainability.";https://www.datacamp.com/skill-verification/AIE0028194915592;Nov-25;AI Ethics.png
Administration;DataCamp;Introduction to Excel;"Identify Excel’s core components, including cells, worksheets, tables, formulas, and charts.

Define and apply aggregation functions such as SUM, AVERAGE, and COUNT to analyze worksheet data.

Recognize methods to format, manage, and validate data using named ranges, conditional formatting, and data validation rules.

Differentiate between visualization options (e.g., bar, line, sunburst charts) and assess which is most appropriate for a dataset.

Evaluate the role of formulas, cell references, and arithmetic operations in performing accurate calculations.";https://www.datacamp.com/skill-verification/ITE0011344223676;Nov-25;Excel.png
Administration;DataCamp;Introduction to Power BI;"Identify the differences between Power BI Free, Pro, and Premium versions and their appropriate use cases.

Recognize Power BI’s main components, including report view, data view, and relationship view.

Differentiate between DAX and M code when creating calculated columns, tables, and measures.

Assess visualization techniques such as hierarchies, drill-downs, filters, and slicers to enhance reports.

Evaluate deployment options by recognizing Power BI Service features, workspaces, and dashboards.";https://www.datacamp.com/skill-verification/ITPB0018227290634;Nov-25;Power BI.png
others;DataCamp;Understanding ChatGPT;"Define ChatGPT and explain how it differs from traditional chatbots and AI tools.

Identify ChatGPT’s strengths, limitations, and ethical considerations in practical use.

Apply prompt-writing techniques to generate accurate and useful ChatGPT responses.

Evaluate ChatGPT’s potential for business workflows and identify suitable use cases across industries.

Recognize ChatGPT’s evolving capabilities, privacy implications, and ownership concerns in generative AI.";https://www.datacamp.com/skill-verification/UCG0013653598785;Nov-25;chatGPT.png
Data Science;DataCamp;Understanding Data Engineering;data engineer’s core responsibilities, how they differ from data scientists, and facilitate the flow of data through an organization. Through hands-on exercises you’ll follow Spotflix, a fictional music streaming company, to understand how their data engineers collect, clean, and catalog their data. By the end of the course, you’ll understand what your company's data engineers do, be ready to have a conversation with a data engineer, and have a solid foundation to start your own data engineer journey.;https://www.datacamp.com/skill-verification/UDE0014688431999;Nov-25;Data Engineering.png
Data Science;Dicoding;Penerapan Data Science;"Manajemen Proyek Data Science: menjelaskan tantangan dan teknik dalam mengolah proyek data science (2 Jam 10 Menit). 
Keterampilan Teknis Data Scientist: mengidentifikasi keterampilan teknis yang dibutuhkan untuk menjadi seorang data scientist yang andal (4 Jam 20 Menit). 
Studi Kasus Membuat Business Dashboard: membangun sebuah business dashboard sebagai wadah untuk mengomunikasikan data (4 Jam). 
Studi Kasus Customer Segmentation Analysis: menganalisis segmentasi pelanggan untuk menghasilkan strategi bisnis yang lebih baik (4 Jam). 
Studi Kasus Credit Scoring Analytics: membangun model machine learning untuk mengidentifikasi risiko kredit untuk mencegah kredit macet (5 Jam 10 Menit). 
Pengolahan Big Data dengan PySpark: menggunakan PySpark untuk mengolah Big Data secara efisien (3 Jam 40 Menit). 
Implementasi Proyek Data Science dalam Environment Cloud: membangun proyek data science dalam environment cloud (4 Jam 10 Menit).";https://www.dicoding.com/certificates/1OP82Q28LPQK;Jun-25;Data Science.png
Data Science;Dicoding;Fundamental Deep Learning;"Pengenalan Deep Learning: Menggali lebih dalam tentang konsep deep learning dan penggunaan neural network yang lebih kompleks untuk mempelajari representasi data yang mendalam. (3 jam 55 menit)
Neural Network dengan Tensorflow dan Keras: Mempelajari langkah-langkah praktis dalam membuat dan melatih model neural network menggunakan berbagai platform dan library terkemuka. (5 jam 25 menit)
Natural Language Processing: Mengimplementasikan langkah-langkah praktis dalam proyek NLP menggunakan TensorFlow, termasuk pemrosesan teks, pelabelan data, dan pembuatan model untuk tugas seperti klasifikasi teks atau analisis sentimen. (7 jam 10 menit)
Time Series: Belajar tentang pembuatan model deep learning untuk analisis time series, termasuk teknik seperti LSTM (Long Short-Term Memory) dan RNN (Recurrent Neural Networks). (4 jam 40 menit)
Image Classification: Mendemonstrasikan cara membangun dan melatih model deep learning untuk klasifikasi gambar, termasuk teknik preprocessing dan evaluasi model. (7 jam 30 menit)
Recommendation System: Mengulas berbagai jenis sistem rekomendasi dan cara mengimplementasikannya menggunakan deep learning untuk memberikan rekomendasi yang lebih personal dan akurat. (3 jam 35 menit)
Reinforcement Learning: Mempertajam pemahaman mendalam tentang konsep reinforcement learning, termasuk algoritma seperti Markov Model dan Q-learning, serta aplikasi dalam pengambilan keputusan yang adaptif. (3 jam 45 menit)
Konversi Model Machine Learning: Membahas strategi dan teknik untuk mendeploy dan mengevaluasi model machine learning yang telah dibangun pada berbagai platform dan lingkungan. (9 jam 35 menit)
The Game Changer: Generative AI: Menguraikan konsep generative AI dan menunjukkan contoh penerapannya dalam pembangkitan konten baru, seperti gambar, teks, dan multimodal. (5 jam 25 menit)";https://www.dicoding.com/certificates/2VX3KG2RJXYQ;Jun-25;Deep Learning.png
